annual_delivery_mt_per_year,length_km,buffer_hours,storage_cost_2023_usd_per_kg,transport_diameter_in,transport_stations,joint_design_diameter_in,joint_design_stations,joint_design_infrastructure_response,external_storage_only_lcot_2023_usd_per_kg,linepack_without_redesign_lcot_2023_usd_per_kg,joint_design_lcot_2023_usd_per_kg,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg
0.5,2000.0,12.0,200.0,30.0,1,30.0,1,Compressor resize,0.5551821570518658,0.5526949093861329,0.5391615324293495,0.002487247665732939,0.01353337695678336
0.5,2000.0,24.0,200.0,30.0,1,30.0,3,Station-count change,0.5825794173258384,0.5800921696601055,0.5604490089591179,0.002487247665732939,0.019643160700987594
0.5,2000.0,36.0,200.0,30.0,1,30.0,4,Station-count change,0.6099766775998111,0.6074894299340781,0.5875378079905645,0.00248724766573305,0.01995162194351352
0.5,2000.0,48.0,200.0,30.0,1,30.0,4,Station-count change,0.6373739378737836,0.6348866902080508,0.6149350682645371,0.002487247665732828,0.01995162194351363
0.5,2000.0,72.0,200.0,30.0,1,30.0,4,Station-count change,0.6921684584217288,0.6896812107559959,0.6697295888124823,0.002487247665732939,0.01995162194351352
0.5,400.0,0.0,600.0,24.0,0,24.0,0,Transport assets retained,0.15165401419527352,0.15165401419527352,0.15165401419527352,0.0,0.0
0.5,400.0,6.0,600.0,24.0,0,30.0,0,Diameter change,0.1927499046062324,0.18086986345214512,0.16815156860195024,0.011880041154087279,0.012718294850194878
0.5,400.0,12.0,600.0,24.0,0,30.0,0,Diameter change,0.23384579501719133,0.22196575386310405,0.18819682289084136,0.011880041154087279,0.03376893097226269
0.5,400.0,24.0,600.0,24.0,0,42.0,0,Diameter change,0.31603757583910913,0.3041575346850219,0.21004235684793587,0.01188004115408725,0.094115177837086
0.5,400.0,36.0,600.0,24.0,0,42.0,0,Diameter change,0.39822935666102693,0.38634931550693963,0.2922341376698537,0.011880041154087306,0.09411517783708595
0.5,400.0,48.0,600.0,24.0,0,42.0,0,Diameter change,0.48042113748294474,0.4685410963288575,0.37442591849177154,0.01188004115408725,0.09411517783708595
0.5,400.0,72.0,600.0,24.0,0,42.0,0,Diameter change,0.6448046991267804,0.632924657972693,0.5388094801356071,0.011880041154087362,0.0941151778370859
0.5,800.0,0.0,600.0,30.0,0,30.0,0,Transport assets retained,0.25528512417877686,0.25528512417877686,0.25528512417877686,0.0,0.0
0.5,800.0,6.0,600.0,30.0,0,30.0,0,Transport assets retained,0.29638101458973576,0.2552851242051354,0.2552851242051354,0.041095890384600375,0.0
0.5,800.0,12.0,600.0,30.0,0,30.0,0,Transport assets retained,0.33747690500069466,0.25548199836004504,0.25548199836004504,0.08199490664064962,0.0
0.5,800.0,24.0,600.0,30.0,0,36.0,0,Diameter change,0.4196686858226124,0.33767377918196284,0.30832247611180186,0.08199490664064957,0.029351303070160983
0.5,800.0,36.0,600.0,30.0,0,42.0,0,Diameter change,0.5018604666445303,0.41986556000388064,0.32835294924494157,0.08199490664064968,0.09151261075893907
0.5,800.0,48.0,600.0,30.0,0,42.0,2,Diameter change,0.584052247466448,0.5020573408257986,0.34399724126620074,0.08199490664064946,0.15806009955959782
0.5,800.0,72.0,600.0,30.0,0,42.0,8,Diameter change,0.7484358091102837,0.6664409024696341,0.506555904739282,0.08199490664064968,0.15988499773035203
0.5,1200.0,0.0,600.0,30.0,0,30.0,0,Transport assets retained,0.3393331176201775,0.3393331176201775,0.3393331176201775,0.0,0.0
0.5,1200.0,6.0,600.0,30.0,0,30.0,0,Transport assets retained,0.3804290080311364,0.3393331176201775,0.3393331176201775,0.0410958904109589,0.0
0.5,1200.0,12.0,600.0,30.0,0,30.0,0,Transport assets retained,0.4215248984420953,0.3586297938691687,0.3586297938691687,0.06289510457292657,0.0
0.5,1200.0,24.0,600.0,30.0,0,30.0,1,Station-count change,0.5037166792640131,0.4408215746910865,0.39490427944426754,0.06289510457292657,0.04591729524681898
0.5,1200.0,36.0,600.0,30.0,0,36.0,0,Diameter change,0.5859084600859309,0.5230133555130043,0.4168734635575296,0.06289510457292657,0.10613989195547474
0.5,1200.0,48.0,600.0,30.0,0,42.0,0,Diameter change,0.6681002409078487,0.6052051363349221,0.44537472771545444,0.06289510457292657,0.15983040861946768
0.5,1200.0,72.0,600.0,30.0,0,42.0,4,Diameter change,0.8324838025516844,0.7695886979787577,0.4734335831003731,0.06289510457292669,0.29615511487838464
0.5,1600.0,0.0,600.0,30.0,1,30.0,1,Transport assets retained,0.4397458163902554,0.4397458163902554,0.4397458163902554,0.0,0.0
0.5,1600.0,6.0,600.0,30.0,1,30.0,1,Compressor resize,0.4808417068012143,0.47460566267090326,0.44334663173899425,0.006236044130311036,0.031259030931909015
0.5,1600.0,12.0,600.0,30.0,1,30.0,1,Compressor resize,0.5219375972121733,0.5157015530818622,0.4493875538943858,0.006236044130311091,0.06631399918747638
0.5,1600.0,24.0,600.0,30.0,1,30.0,1,Compressor resize,0.604129378034091,0.59789333390378,0.4739984764323479,0.00623604413031098,0.12389485747143208
0.5,1600.0,36.0,600.0,30.0,1,36.0,0,Diameter change,0.6863211588560088,0.6800851147256978,0.5230366270652679,0.00623604413031098,0.1570484876604299
0.5,1600.0,48.0,600.0,30.0,1,36.0,1,Diameter change,0.7685129396779266,0.7622768955476156,0.5451131682019056,0.00623604413031098,0.21716372734571
0.5,1600.0,72.0,600.0,30.0,1,42.0,0,Diameter change,0.9328965013217623,0.9266604571914512,0.5596368618190862,0.006236044130311091,0.36702359537236495
0.5,2000.0,0.0,600.0,30.0,1,30.0,1,Transport assets retained,0.5277848967778932,0.5277848967778932,0.5277848967778932,0.0,0.0
0.5,2000.0,6.0,600.0,30.0,1,30.0,1,Compressor resize,0.5688807871888522,0.56141904419159,0.5320189302368643,0.0074617429972621,0.02940011395472575
0.5,2000.0,12.0,600.0,30.0,1,30.0,1,Compressor resize,0.6099766775998111,0.6025149346025489,0.5391615324293495,0.007461742997262211,0.0633534021731994
0.5,2000.0,24.0,600.0,30.0,1,30.0,3,Station-count change,0.6921684584217288,0.6847067154244667,0.5604490090243152,0.0074617429972621,0.12425770640015155
0.5,2000.0,36.0,600.0,30.0,1,30.0,9,Station-count change,0.7743602392436466,0.7668984962463846,0.5922066412356745,0.007461742997261989,0.17469185501071016
0.5,2000.0,48.0,600.0,30.0,1,36.0,1,Diameter change,0.8565520200655644,0.8490902770683024,0.6478877992018679,0.007461742997261989,0.20120247786643453
0.5,2000.0,72.0,600.0,30.0,1,42.0,0,Diameter change,1.0209355817094001,1.013473838712138,0.671920658845636,0.0074617429972621,0.341553179866502
1.0,400.0,0.0,200.0,30.0,0,30.0,0,Transport assets retained,0.11760241182733688,0.11760241182733688,0.11760241182733688,0.0,0.0
1.0,400.0,6.0,200.0,30.0,0,30.0,0,Transport assets retained,0.13130104196432318,0.13087865401155477,0.13087865401155477,0.000422387952768416,0.0
